Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Group,Visibility_Group
FDU02,13.35,Low Fat,0.1025,Dairy,230.635,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528,Perisable,High Visibility
FDK43,9.8,Low Fat,0.0268,Meat,126.002,OUT013,1987,High,Tier 3,Supermarket Type1,2150.534,Perisable,Low Visibilty
FDA46,13.6,Low Fat,0.1178,Snack Foods,192.914,OUT049,1999,Medium,Tier 1,Supermarket Type1,2527.3768,Non-Perisable,High Visibility
FDC02,21.35,Low Fat,0.0691,Canned,259.928,OUT018,2009,Medium,Tier 3,Supermarket Type2,6768.5228,Non-Perisable,Low Visibilty
FDL50,12.15,Regular,0.0423,Canned,126.505,OUT013,1987,High,Tier 3,Supermarket Type1,373.5138,Non-Perisable,Low Visibilty
FDM39,6.42,Low Fat,0.0895,Dairy,178.1,OUT010,1998,,Tier 3,Grocery Store,358.2004,Perisable,Low Visibilty
NCP05,19.6,Low Fat,0,Health and Hygiene,153.302,OUT045,2002,,Tier 2,Supermarket Type1,2428.8384,Household,Unknown
FDV49,10,Low Fat,0.0259,Canned,265.223,OUT045,2002,,Tier 2,Supermarket Type1,5815.0972,Non-Perisable,Low Visibilty
FDL12,15.85,Regular,0.1216,Baking Goods,60.622,OUT046,1997,Small,Tier 1,Supermarket Type1,2576.646,Perisable,High Visibility
NCL17,7.39,Low Fat,0.0678,Health and Hygiene,143.881,OUT046,1997,Small,Tier 1,Supermarket Type1,3134.5864,Household,Low Visibilty
FDM40,10.2,Low Fat,0.1598,Frozen Foods,141.515,OUT013,1987,High,Tier 3,Supermarket Type1,850.8924,Non-Perisable,High Visibility
FDR13,9.9,Regular,0.0287,Canned,117.049,OUT013,1987,High,Tier 3,Supermarket Type1,810.9444,Non-Perisable,Low Visibilty
FDA43,10.9,Low Fat,0.065,Fruits and Vegetables,196.379,OUT017,2007,,Tier 2,Supermarket Type1,3121.2704,Perisable,Low Visibilty
NCP18,12.15,Low Fat,0.0288,Household,151.471,OUT017,2007,,Tier 2,Supermarket Type1,4815.0656,Household,Low Visibilty
FDK21,7.91,Low Fat,0.0101,Snack Foods,249.041,OUT018,2009,Medium,Tier 3,Supermarket Type2,6258.52,Non-Perisable,Low Visibilty
NCX54,9.2,Low Fat,0.0482,Household,106.162,OUT045,2002,,Tier 2,Supermarket Type1,2117.244,Household,Low Visibilty
DRK35,8.37,Low Fat,0.072,Hard Drinks,38.051,OUT049,1999,Medium,Tier 1,Supermarket Type1,796.9626,Drinks,Low Visibilty
FDY21,15.1,Low Fat,0.1735,Snack Foods,194.511,OUT046,1997,Small,Tier 1,Supermarket Type1,4910.275,Non-Perisable,High Visibility
FDM20,10,Low Fat,0,Fruits and Vegetables,246.914,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.1872,Perisable,Unknown
FDV27,7.97,Regular,0.0401,Meat,87.351,OUT045,2002,,Tier 2,Supermarket Type1,1062.6168,Perisable,Low Visibilty
FDC46,17.7,Low Fat,0.1951,Snack Foods,185.427,OUT010,1998,,Tier 3,Grocery Store,184.4266,Non-Perisable,High Visibility
FDH19,19.35,Low Fat,0.0331,Meat,172.574,OUT035,2004,Small,Tier 2,Supermarket Type1,4865.6664,Perisable,Low Visibilty
FDZ03,13.65,Regular,0.0789,Dairy,186.024,OUT045,2002,,Tier 2,Supermarket Type1,1118.544,Perisable,Low Visibilty
DRH37,17.6,Low Fat,0.0417,Soft Drinks,164.853,OUT045,2002,,Tier 2,Supermarket Type1,2302.3364,Drinks,Low Visibilty
NCI17,8.65,Low Fat,0.1434,Health and Hygiene,95.841,OUT046,1997,Small,Tier 1,Supermarket Type1,2027.361,Household,High Visibility
FDJ58,15.6,Regular,0.1053,Snack Foods,170.176,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528,Non-Perisable,High Visibility
FDL12,15.85,Regular,0.1215,Baking Goods,59.222,OUT013,1987,High,Tier 3,Supermarket Type1,599.22,Perisable,High Visibility
FDH35,18.25,Low Fat,0,Starchy Foods,164.753,OUT045,2002,,Tier 2,Supermarket Type1,4604.6728,Non-Perisable,Unknown
FDG02,7.86,Low Fat,0.0113,Canned,189.619,OUT017,2007,,Tier 2,Supermarket Type1,2285.0256,Non-Perisable,Low Visibilty
NCZ18,7.83,low fat,0.1864,Household,254.37,OUT049,1999,Medium,Tier 1,Supermarket Type1,5580.7356,Household,High Visibility
FDC29,8.39,Regular,0.0242,Frozen Foods,114.018,OUT046,1997,Small,Tier 1,Supermarket Type1,2290.352,Non-Perisable,Low Visibilty
FDQ10,12.85,Low Fat,0.0332,Snack Foods,172.342,OUT049,1999,Medium,Tier 1,Supermarket Type1,1207.0954,Non-Perisable,Low Visibilty
FDL04,19,Low Fat,0.1126,Frozen Foods,104.962,OUT017,2007,,Tier 2,Supermarket Type1,1587.933,Non-Perisable,High Visibility
FDV25,5.91,Low Fat,0,Canned,222.546,OUT045,2002,,Tier 2,Supermarket Type1,5305.0944,Non-Perisable,Unknown
FDD58,7.76,Low Fat,0.0594,Snack Foods,101.87,OUT046,1997,Small,Tier 1,Supermarket Type1,1697.79,Non-Perisable,Low Visibilty
FDN04,11.8,Regular,0.0141,Frozen Foods,180.334,OUT046,1997,Small,Tier 1,Supermarket Type1,1427.4752,Non-Perisable,Low Visibilty
FDV45,16.75,low fat,0.0452,Snack Foods,187.956,OUT018,2009,Medium,Tier 3,Supermarket Type2,4693.89,Non-Perisable,Low Visibilty
FDG20,15.5,Regular,0.1264,Fruits and Vegetables,177.003,OUT017,2007,,Tier 2,Supermarket Type1,2479.4392,Perisable,High Visibility
FDZ55,6.06,Low Fat,0.0254,Fruits and Vegetables,160.992,OUT035,2004,Small,Tier 2,Supermarket Type1,2716.464,Perisable,Low Visibilty
FDN33,6.31,Regular,0.1231,Snack Foods,95.644,OUT046,1997,Small,Tier 1,Supermarket Type1,661.8052,Non-Perisable,High Visibility
FDN27,20.85,Low Fat,0.0396,Meat,117.281,OUT049,1999,Medium,Tier 1,Supermarket Type1,1523.3504,Perisable,Low Visibilty
FDW20,20.75,Low Fat,0.0404,Fruits and Vegetables,122.173,OUT010,1998,,Tier 3,Grocery Store,369.519,Perisable,Low Visibilty
DRG27,8.9,Low Fat,0.1053,Dairy,39.914,OUT049,1999,Medium,Tier 1,Supermarket Type1,690.4346,Perisable,High Visibility
DRI25,19.6,Low Fat,0.034,Soft Drinks,55.161,OUT045,2002,,Tier 2,Supermarket Type1,1381.535,Drinks,Low Visibilty
FDA44,19.7,Low Fat,0.0532,Fruits and Vegetables,57.893,OUT035,2004,Small,Tier 2,Supermarket Type1,622.523,Perisable,Low Visibilty
NCR17,9.8,Low Fat,0.0244,Health and Hygiene,114.549,OUT035,2004,Small,Tier 2,Supermarket Type1,1274.3412,Household,Low Visibilty
FDF41,12.15,Low Fat,0.1314,Frozen Foods,246.046,OUT049,1999,Medium,Tier 1,Supermarket Type1,1231.73,Non-Perisable,High Visibility
FDB56,8.75,Regular,0.0746,Fruits and Vegetables,187.456,OUT035,2004,Small,Tier 2,Supermarket Type1,3755.112,Perisable,Low Visibilty
FDB56,8.75,Regular,0.0746,Fruits and Vegetables,187.856,OUT046,1997,Small,Tier 1,Supermarket Type1,1314.2892,Perisable,Low Visibilty
FDT28,13.3,Low Fat,0.0637,Frozen Foods,151.071,OUT045,2002,,Tier 2,Supermarket Type1,1805.6496,Non-Perisable,Low Visibilty
FDW57,8.31,Regular,0.1159,Snack Foods,179.103,OUT049,1999,Medium,Tier 1,Supermarket Type1,3896.2616,Non-Perisable,High Visibility
DRB48,16.75,Regular,0.0248,Soft Drinks,38.782,OUT013,1987,High,Tier 3,Supermarket Type1,667.7974,Drinks,Low Visibilty
FDP09,19.75,Low Fat,0.034,Snack Foods,212.09,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.853,Non-Perisable,Low Visibilty
FDH14,17.1,Regular,0.0468,Canned,141.184,OUT013,1987,High,Tier 3,Supermarket Type1,2247.7408,Non-Perisable,Low Visibilty
FDA47,10.5,Regular,0.1166,Baking Goods,163.121,OUT013,1987,High,Tier 3,Supermarket Type1,1794.331,Perisable,High Visibility
FDG12,6.64,Regular,0,Baking Goods,121.31,OUT045,2002,,Tier 2,Supermarket Type1,2530.7058,Perisable,Unknown
DRK49,14.15,Low Fat,0.0359,Soft Drinks,41.414,OUT013,1987,High,Tier 3,Supermarket Type1,812.276,Drinks,Low Visibilty
FDD03,13.3,Low Fat,0.0798,Dairy,232.53,OUT046,1997,Small,Tier 1,Supermarket Type1,699.09,Perisable,Low Visibilty
FDS52,8.89,low fat,0.0055,Frozen Foods,102.402,OUT017,2007,,Tier 2,Supermarket Type1,2732.4432,Non-Perisable,Low Visibilty
FDV11,9.1,Regular,0,Breads,173.205,OUT045,2002,,Tier 2,Supermarket Type1,3151.8972,Perisable,Unknown
FDD17,7.5,Low Fat,0.0327,Frozen Foods,239.091,OUT049,1999,Medium,Tier 1,Supermarket Type1,5942.265,Non-Perisable,Low Visibilty
FDZ16,16.85,Regular,0.1608,Frozen Foods,192.448,OUT017,2007,,Tier 2,Supermarket Type1,4843.695,Non-Perisable,High Visibility
FDZ46,7.49,Low Fat,0.0691,Snack Foods,109.023,OUT035,2004,Small,Tier 2,Supermarket Type1,2542.0244,Non-Perisable,Low Visibilty
DRA12,11.6,Low Fat,0.0412,Soft Drinks,140.315,OUT017,2007,,Tier 2,Supermarket Type1,2552.6772,Drinks,Low Visibilty
FDY58,11.65,Low Fat,0.0401,Snack Foods,227.069,OUT018,2009,Medium,Tier 3,Supermarket Type2,1141.847,Non-Perisable,Low Visibilty
NCF19,13,Low Fat,0.0353,Household,47.503,OUT017,2007,,Tier 2,Supermarket Type1,680.4476,Household,Low Visibilty
DRJ13,12.65,Low Fat,0.063,Soft Drinks,159.058,OUT045,2002,,Tier 2,Supermarket Type1,2085.9514,Drinks,Low Visibilty
FDB14,20.25,Regular,0.1719,Canned,92.512,OUT010,1998,,Tier 3,Grocery Store,186.424,Non-Perisable,High Visibility
FDJ38,8.6,Regular,0.0402,Canned,190.153,OUT035,2004,Small,Tier 2,Supermarket Type1,3036.048,Non-Perisable,Low Visibilty
FDW11,12.6,Low Fat,0.0491,Breads,62.719,OUT017,2007,,Tier 2,Supermarket Type1,866.8716,Perisable,Low Visibilty
FDL40,17.7,Low Fat,0.0116,Frozen Foods,95.041,OUT035,2004,Small,Tier 2,Supermarket Type1,868.869,Non-Perisable,Low Visibilty
DRI49,14.15,Low Fat,0.1835,Soft Drinks,82.428,OUT046,1997,Small,Tier 1,Supermarket Type1,1137.1864,Drinks,High Visibility
FDV38,19.25,Low Fat,0.1023,Dairy,52.796,OUT017,2007,,Tier 2,Supermarket Type1,928.1252,Perisable,High Visibility
DRG23,8.88,Low Fat,0.0867,Hard Drinks,151.768,OUT013,1987,High,Tier 3,Supermarket Type1,762.341,Drinks,Low Visibilty
NCP30,20.5,Low Fat,0.0328,Household,40.282,OUT045,2002,,Tier 2,Supermarket Type1,707.0796,Household,Low Visibilty
NCH54,13.5,Low Fat,0.0727,Household,160.292,OUT046,1997,Small,Tier 1,Supermarket Type1,1438.128,Household,Low Visibilty
FDS52,8.89,Low Fat,0.0092,Frozen Foods,101.702,OUT010,1998,,Tier 3,Grocery Store,101.2016,Non-Perisable,Low Visibilty
FDG02,7.86,Low Fat,0.0113,Canned,188.519,OUT018,2009,Medium,Tier 3,Supermarket Type2,952.094,Non-Perisable,Low Visibilty
NCO26,7.24,Low Fat,0.0769,Household,116.049,OUT046,1997,Small,Tier 1,Supermarket Type1,1969.4364,Household,Low Visibilty
FDB51,6.92,Low Fat,0.0385,Dairy,60.585,OUT045,2002,,Tier 2,Supermarket Type1,1314.2892,Perisable,Low Visibilty
FDX44,9.3,Low Fat,0.0432,Fruits and Vegetables,90.817,OUT017,2007,,Tier 2,Supermarket Type1,535.3032,Perisable,Low Visibilty
NCN07,18.5,Low Fat,0.0568,Others,132.128,OUT010,1998,,Tier 3,Grocery Store,263.6568,Non-Perisable,Low Visibilty
NCC31,8.02,Low Fat,0.0199,Household,154.597,OUT035,2004,Small,Tier 2,Supermarket Type1,1402.1748,Household,Low Visibilty
NCX54,9.2,Low Fat,0.0483,Household,105.162,OUT017,2007,,Tier 2,Supermarket Type1,1693.7952,Household,Low Visibilty
NCO55,12.8,Low Fat,0.0912,Others,105.594,OUT045,2002,,Tier 2,Supermarket Type1,2143.876,Non-Perisable,Low Visibilty
NCC30,16.6,Low Fat,0.0276,Household,177.634,OUT049,1999,Medium,Tier 1,Supermarket Type1,2676.516,Household,Low Visibilty
FDI16,14,Regular,0,Frozen Foods,53.064,OUT035,2004,Small,Tier 2,Supermarket Type1,905.488,Non-Perisable,Unknown
FDP16,18.6,Low Fat,0.0394,Frozen Foods,246.38,OUT049,1999,Medium,Tier 1,Supermarket Type1,7370.406,Non-Perisable,Low Visibilty
FDB11,16,Low Fat,0.0608,Starchy Foods,226.84,OUT035,2004,Small,Tier 2,Supermarket Type1,6301.1312,Non-Perisable,Low Visibilty
NCB06,17.6,Low Fat,0.0823,Health and Hygiene,160.692,OUT035,2004,Small,Tier 2,Supermarket Type1,1597.92,Household,Low Visibilty
FDA45,21.25,Low Fat,0.1554,Snack Foods,178.237,OUT035,2004,Small,Tier 2,Supermarket Type1,529.311,Non-Perisable,High Visibility
NCO26,7.24,Low Fat,0.0768,Household,117.549,OUT035,2004,Small,Tier 2,Supermarket Type1,1969.4364,Household,Low Visibilty
DRJ25,14.6,Low Fat,0.1514,Soft Drinks,50.369,OUT017,2007,,Tier 2,Supermarket Type1,1034.6532,Drinks,High Visibility
FDR28,13.85,Regular,0.026,Frozen Foods,161.521,OUT018,2009,Medium,Tier 3,Supermarket Type2,1794.331,Non-Perisable,Low Visibilty
FDI04,13.65,Regular,0.0732,Frozen Foods,197.643,OUT018,2009,Medium,Tier 3,Supermarket Type2,2768.3964,Non-Perisable,Low Visibilty
FDX20,7.37,Low Fat,0.0426,Fruits and Vegetables,226.172,OUT046,1997,Small,Tier 1,Supermarket Type1,3169.208,Perisable,Low Visibilty
NCI18,18.35,Low Fat,0.0141,Household,223.575,OUT018,2009,Medium,Tier 3,Supermarket Type2,3589.9936,Household,Low Visibilty
FDB36,5.47,Regular,0,Baking Goods,132.563,OUT018,2009,Medium,Tier 3,Supermarket Type2,262.3252,Perisable,Unknown
FDN13,18.6,Low Fat,0.1529,Breakfast,99.836,OUT017,2007,,Tier 2,Supermarket Type1,1910.1802,Non-Perisable,High Visibility
DRD24,13.85,Low Fat,0.031,Soft Drinks,140.915,OUT017,2007,,Tier 2,Supermarket Type1,1701.7848,Drinks,Low Visibilty
FDQ28,14,Regular,0.0604,Frozen Foods,154.566,OUT013,1987,High,Tier 3,Supermarket Type1,2471.4496,Non-Perisable,Low Visibilty
FDM22,14,Regular,0.0419,Snack Foods,54.764,OUT013,1987,High,Tier 3,Supermarket Type1,1331.6,Non-Perisable,Low Visibilty
FDV25,5.91,Low Fat,0.0458,Canned,222.546,OUT018,2009,Medium,Tier 3,Supermarket Type2,3315.684,Non-Perisable,Low Visibilty
DRF49,7.27,Low Fat,0.0711,Soft Drinks,114.252,OUT046,1997,Small,Tier 1,Supermarket Type1,2618.5914,Drinks,Low Visibilty
FDW51,6.16,Regular,0.0947,Meat,214.556,OUT046,1997,Small,Tier 1,Supermarket Type1,2769.728,Perisable,Low Visibilty
DRL01,19.5,Regular,0.0776,Soft Drinks,233.496,OUT017,2007,,Tier 2,Supermarket Type1,5375.0034,Drinks,Low Visibilty
FDP25,15.2,Low Fat,0.0213,Canned,216.882,OUT017,2007,,Tier 2,Supermarket Type1,2838.9712,Non-Perisable,Low Visibilty
FDL50,12.15,Regular,0.0425,Canned,125.005,OUT018,2009,Medium,Tier 3,Supermarket Type2,1743.0644,Non-Perisable,Low Visibilty
FDW11,12.6,Low Fat,0.049,Breads,61.919,OUT018,2009,Medium,Tier 3,Supermarket Type2,619.194,Perisable,Low Visibilty
NCM43,14.5,Low Fat,0.0195,Others,164.821,OUT035,2004,Small,Tier 2,Supermarket Type1,2120.573,Non-Perisable,Low Visibilty
FDK44,16.6,Low Fat,0.1229,Fruits and Vegetables,173.074,OUT017,2007,,Tier 2,Supermarket Type1,3823.0236,Perisable,High Visibility
FDM15,11.8,Regular,0.0574,Meat,151.437,OUT013,1987,High,Tier 3,Supermarket Type1,1360.2294,Perisable,Low Visibilty
FDS31,13.1,Regular,0.0442,Fruits and Vegetables,178.832,OUT013,1987,High,Tier 3,Supermarket Type1,3969.4996,Perisable,Low Visibilty
FDI32,17.7,Low Fat,0.2919,Fruits and Vegetables,115.183,OUT010,1998,,Tier 3,Grocery Store,345.5502,Perisable,High Visibility
FDR47,17.85,Low Fat,0,Breads,196.579,OUT010,1998,,Tier 3,Grocery Store,585.2382,Perisable,Unknown
FDB35,12.3,Regular,0.0648,Starchy Foods,92.68,OUT045,2002,,Tier 2,Supermarket Type1,1010.6844,Non-Perisable,Low Visibilty
NCU05,11.8,Low Fat,0.0983,Health and Hygiene,81.462,OUT010,1998,,Tier 3,Grocery Store,161.1236,Household,Low Visibilty
FDO24,11.1,Low Fat,0.1766,Baking Goods,157.46,OUT045,2002,,Tier 2,Supermarket Type1,3010.7476,Perisable,High Visibility
FDV39,11.3,Low Fat,0.0073,Meat,198.143,OUT045,2002,,Tier 2,Supermarket Type1,988.713,Perisable,Low Visibilty
FDU50,5.75,Regular,0.0751,Dairy,112.818,OUT013,1987,High,Tier 3,Supermarket Type1,1374.2112,Perisable,Low Visibilty
FDK58,11.35,Regular,0.0452,Snack Foods,100.002,OUT018,2009,Medium,Tier 3,Supermarket Type2,1012.016,Non-Perisable,Low Visibilty
NCW29,14,Low Fat,0.0289,Health and Hygiene,130.431,OUT049,1999,Medium,Tier 1,Supermarket Type1,778.986,Household,Low Visibilty
FDE04,19.75,Regular,0.0181,Frozen Foods,179.766,OUT045,2002,,Tier 2,Supermarket Type1,2336.958,Non-Perisable,Low Visibilty
NCB19,6.53,Low Fat,0.0904,Household,85.088,OUT049,1999,Medium,Tier 1,Supermarket Type1,2233.0932,Household,Low Visibilty
FDV15,10.3,Low Fat,0.1464,Meat,103.965,OUT049,1999,Medium,Tier 1,Supermarket Type1,1661.8368,Perisable,High Visibility
FDL58,5.78,Regular,0.0743,Snack Foods,264.757,OUT049,1999,Medium,Tier 1,Supermarket Type1,4745.8224,Non-Perisable,Low Visibilty
FDA08,11.85,Regular,0.0502,Fruits and Vegetables,164.153,OUT045,2002,,Tier 2,Supermarket Type1,3124.5994,Perisable,Low Visibilty
FDT43,16.35,Low Fat,0.0206,Fruits and Vegetables,50.132,OUT018,2009,Medium,Tier 3,Supermarket Type2,467.3916,Perisable,Low Visibilty
FDT20,10.5,Low Fat,0.0414,Fruits and Vegetables,37.616,OUT046,1997,Small,Tier 1,Supermarket Type1,540.6296,Perisable,Low Visibilty
FDB41,19,Regular,0.0973,Frozen Foods,48.072,OUT046,1997,Small,Tier 1,Supermarket Type1,992.7078,Non-Perisable,Low Visibilty
NCN55,14.6,Low Fat,0.0596,Others,238.854,OUT049,1999,Medium,Tier 1,Supermarket Type1,6008.845,Non-Perisable,Low Visibilty
NCM53,18.75,Low Fat,0.0521,Health and Hygiene,104.628,OUT045,2002,,Tier 2,Supermarket Type1,745.696,Household,Low Visibilty
FDE36,5.26,Regular,0.0418,Baking Goods,161.887,OUT035,2004,Small,Tier 2,Supermarket Type1,3275.736,Perisable,Low Visibilty
FDN57,18.25,Low Fat,0.0543,Snack Foods,140.215,OUT045,2002,,Tier 2,Supermarket Type1,1701.7848,Non-Perisable,Low Visibilty
FDI19,15.1,Low Fat,0.0523,Meat,242.751,OUT046,1997,Small,Tier 1,Supermarket Type1,4119.9704,Perisable,Low Visibilty
FDF24,15.5,Regular,0.0425,Baking Goods,81.593,OUT010,1998,,Tier 3,Grocery Store,327.5736,Perisable,Low Visibilty
FDG52,13.65,Low Fat,0.0657,Frozen Foods,45.74,OUT049,1999,Medium,Tier 1,Supermarket Type1,780.9834,Non-Perisable,Low Visibilty
DRF36,16.1,Low Fat,0.0236,Soft Drinks,189.385,OUT045,2002,,Tier 2,Supermarket Type1,3630.6074,Drinks,Low Visibilty
FDX40,12.85,Low Fat,0.1657,Frozen Foods,39.716,OUT010,1998,,Tier 3,Grocery Store,231.6984,Non-Perisable,High Visibility
DRK12,9.5,Low Fat,0.0419,Soft Drinks,32.99,OUT035,2004,Small,Tier 2,Supermarket Type1,133.16,Drinks,Low Visibilty
DRC27,13.8,Low Fat,0.0581,Dairy,245.18,OUT035,2004,Small,Tier 2,Supermarket Type1,5650.6446,Perisable,Low Visibilty
FDL58,5.78,Regular,0,Snack Foods,263.757,OUT017,2007,,Tier 2,Supermarket Type1,2636.568,Non-Perisable,Unknown
NCD30,19.7,Low Fat,0.0269,Household,96.073,OUT045,2002,,Tier 2,Supermarket Type1,1272.3438,Household,Low Visibilty
NCZ54,14.65,Low Fat,0,Household,161.555,OUT010,1998,,Tier 3,Grocery Store,324.9104,Household,Unknown
FDE10,6.67,Regular,0.1506,Snack Foods,130.063,OUT010,1998,,Tier 3,Grocery Store,131.1626,Non-Perisable,High Visibility
FDR44,6.11,Regular,0,Fruits and Vegetables,131.297,OUT010,1998,,Tier 3,Grocery Store,260.9936,Perisable,Unknown
FDP28,13.65,Regular,0.135,Frozen Foods,260.094,OUT010,1998,,Tier 3,Grocery Store,260.9936,Non-Perisable,High Visibility
FDX15,17.2,Low Fat,0.1562,Meat,160.658,OUT013,1987,High,Tier 3,Supermarket Type1,3690.5294,Perisable,High Visibility
FDA39,6.32,Low Fat,0,Meat,40.282,OUT035,2004,Small,Tier 2,Supermarket Type1,1139.1838,Perisable,Unknown
FDY24,4.88,Regular,0.1337,Baking Goods,52.93,OUT049,1999,Medium,Tier 1,Supermarket Type1,1995.4026,Perisable,High Visibility
FDC60,5.43,Regular,0.1151,Baking Goods,88.351,OUT017,2007,,Tier 2,Supermarket Type1,1416.8224,Perisable,High Visibility
FDH28,15.85,Regular,0.11,Frozen Foods,37.251,OUT046,1997,Small,Tier 1,Supermarket Type1,265.6542,Non-Perisable,High Visibility
FDT25,7.5,Low Fat,0.051,Canned,121.707,OUT017,2007,,Tier 2,Supermarket Type1,3552.7088,Non-Perisable,Low Visibilty
DRJ13,12.65,Low Fat,0.0628,Soft Drinks,161.558,OUT013,1987,High,Tier 3,Supermarket Type1,2406.867,Drinks,Low Visibilty
FDW20,20.75,Low Fat,0.0241,Fruits and Vegetables,124.173,OUT013,1987,High,Tier 3,Supermarket Type1,2956.152,Perisable,Low Visibilty
FDS49,9,Low Fat,0,Canned,79.764,OUT035,2004,Small,Tier 2,Supermarket Type1,1649.8524,Non-Perisable,Unknown
